YEAR,MONTH,DAY,DAY_OF_WEEK,ORG_AIRPORT,DEST_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY
2025,1,1,3,JFK,ATL,600,556,-4,832,839,7
2025,1,1,3,JFK,ATL,630,622,-8,910,855,-15
2025,1,1,3,JFK,ATL,829,932,63,1111,1159,48
2025,1,1,3,JFK,ATL,1100,1055,-5,1341,1325,-16
2025,1,1,3,JFK,ATL,1259,1257,-2,1529,1537,8
2025,1,1,3,JFK,ATL,1315,1350,35,1553,1637,44
2025,1,1,3,JFK,ATL,1559,1621,22,1842,1906,24
2025,1,1,3,JFK,ATL,1751,1851,60,2036,2138,62
2025,1,1,3,JFK,ATL,1753,1755,2,2035,2103,28
2025,1,1,3,JFK,ATL,2115,2116,1,2359,2345,-14
2025,1,1,3,JFK,AUS,700,659,-1,1034,1024,-10
2025,1,1,3,JFK,AUS,1100,1812,432,1426,2215,469
2025,1,1,3,JFK,AUS,1740,1738,-2,2115,2130,15
2025,1,1,3,JFK,AUS,1752,1748,-4,2120,2142,22
2025,1,1,3,JFK,BNA,630,627,-3,815,804,-11
2025,1,1,3,JFK,BNA,1221,1243,22,1403,1427,24
2025,1,1,3,JFK,BNA,1229,1221,-8,1403,1356,-7
2025,1,1,3,JFK,BNA,1529,1523,-6,1715,1717,2
2025,1,1,3,JFK,BNA,1850,1846,-4,2040,2041,1
2025,1,1,3,JFK,BOS,800,819,19,918,922,4
2025,1,1,3,JFK,BOS,959,952,-7,1115,1054,-21
2025,1,1,3,JFK,BOS,1050,1045,-5,1203,1143,-20
2025,1,1,3,JFK,BOS,1300,1258,-2,1415,1404,-11
2025,1,1,3,JFK,BOS,1300,1301,1,1415,1413,-2
2025,1,1,3,JFK,BOS,1445,1438,-7,1559,1551,-8
2025,1,1,3,JFK,BOS,1740,1738,-2,1853,1903,10
2025,1,1,3,JFK,BOS,1800,1756,-4,1915,1932,17
2025,1,1,3,JFK,BOS,2000,2005,5,2125,2118,-7
2025,1,1,3,JFK,BOS,2259,2345,46,18,58,40
2025,1,1,3,JFK,BQN,1517,1529,12,2009,2022,13
2025,1,1,3,JFK,BQN,2015,2008,-7,112,101,-11
2025,1,1,3,JFK,BTV,1630,1623,-7,1759,1746,-13
2025,1,1,3,JFK,BUF,1429,1428,-1,1601,1552,-9
2025,1,1,3,JFK,BUF,2030,2037,7,2209,2202,-7
2025,1,1,3,JFK,CHS,945,940,-5,1205,1149,-16
2025,1,1,3,JFK,CHS,1105,1058,-7,1327,1314,-13
2025,1,1,3,JFK,CHS,1415,1437,22,1633,1704,31
2025,1,1,3,JFK,CHS,1740,1802,22,2008,2047,39
2025,1,1,3,JFK,CLE,840,910,30,1035,1045,10
2025,1,1,3,JFK,CLE,1605,1556,-9,1805,1802,-3
2025,1,1,3,JFK,CLT,616,613,-3,825,803,-22
2025,1,1,3,JFK,CLT,1037,1032,-5,1247,1230,-17
2025,1,1,3,JFK,CLT,1455,1448,-7,1705,1700,-5
2025,1,1,3,JFK,CLT,1930,1929,-1,2143,2139,-4
2025,1,1,3,JFK,CLT,1935,1932,-3,2157,2156,-1
2025,1,1,3,JFK,CMH,1200,1200,0,1355,1354,-1
2025,1,1,3,JFK,CMH,1635,1631,-4,1832,1826,-6
2025,1,1,3,JFK,CMH,1655,1708,13,1855,1905,10
2025,1,1,3,JFK,DCA,800,754,-6,924,912,-12
2025,1,1,3,JFK,DCA,1450,1449,-1,1619,1639,20
2025,1,1,3,JFK,DCA,1459,1453,-6,1624,1635,11
2025,1,1,3,JFK,DCA,1929,2011,42,2101,2136,35
2025,1,1,3,JFK,DCA,2059,2057,-2,2240,2221,-19
2025,1,1,3,JFK,DEN,700,656,-4,935,912,-23
2025,1,1,3,JFK,DEN,810,807,-3,1101,1034,-27
2025,1,1,3,JFK,DEN,1545,1545,0,1816,1827,11
2025,1,1,3,JFK,DEN,2059,2056,-3,2336,2326,-10
2025,1,1,3,JFK,DFW,805,801,-4,1124,1120,-4
2025,1,1,3,JFK,DFW,830,1141,191,1150,1501,191
2025,1,1,3,JFK,DFW,1430,1423,-7,1742,1736,-6
2025,1,1,3,JFK,DFW,1556,1554,-2,1910,1911,1
2025,1,1,3,JFK,DFW,1750,1820,30,2107,2227,80
2025,1,1,3,JFK,EGE,730,736,6,1017,1013,-4
2025,1,1,3,JFK,FLL,501,500,-1,804,755,-9
2025,1,1,3,JFK,FLL,600,554,-6,904,931,27
2025,1,1,3,JFK,FLL,659,655,-4,1009,1015,6
2025,1,1,3,JFK,FLL,730,725,-5,1048,1033,-15
2025,1,1,3,JFK,FLL,900,903,3,1208,1202,-6
2025,1,1,3,JFK,FLL,1030,1043,13,1337,1346,9
2025,1,1,3,JFK,FLL,1115,1108,-7,1422,1429,7
2025,1,1,3,JFK,FLL,1329,1330,1,1640,1646,6
2025,1,1,3,JFK,FLL,1712,1732,20,2022,2100,38
2025,1,1,3,JFK,FLL,1725,1724,-1,2036,2035,-1
2025,1,1,3,JFK,FLL,1930,1933,3,2242,2253,11
2025,1,1,3,JFK,FLL,1950,2010,20,2305,2317,12
2025,1,1,3,JFK,FLL,2145,2225,40,58,129,31
2025,1,1,3,JFK,HNL,955,950,-5,1613,1613,0
2025,1,1,3,JFK,HNL,1000,955,-5,1615,1633,18
2025,1,1,3,JFK,IAH,800,759,-1,1110,1125,15
2025,1,1,3,JFK,IND,1820,1816,-4,2047,2049,2
2025,1,1,3,JFK,JAX,800,752,-8,1042,1025,-17
2025,1,1,3,JFK,JAX,935,927,-8,1220,1203,-17
2025,1,1,3,JFK,JAX,1459,1501,2,1740,1744,4
2025,1,1,3,JFK,JAX,1959,1954,-5,2248,2244,-4
2025,1,1,3,JFK,JAX,2015,2014,-1,2303,2302,-1
2025,1,1,3,JFK,LAS,710,705,-5,1009,947,-22
2025,1,1,3,JFK,LAS,745,743,-2,1040,1018,-22
2025,1,1,3,JFK,LAS,759,758,-1,1100,1057,-3
2025,1,1,3,JFK,LAS,959,952,-7,1249,1235,-14
2025,1,1,3,JFK,LAS,1130,1126,-4,1427,1402,-25
2025,1,1,3,JFK,LAS,1655,1715,20,1951,2002,11
2025,1,1,3,JFK,LAS,1800,1752,-8,2048,2057,9
2025,1,1,3,JFK,LAS,2053,2207,74,2359,36,37
2025,1,1,3,JFK,LAS,2054,2048,-6,2359,2336,-23
2025,1,1,3,JFK,LAX,545,541,-4,910,845,-25
2025,1,1,3,JFK,LAX,600,554,-6,922,912,-10
2025,1,1,3,JFK,LAX,659,656,-3,1020,1013,-7
2025,1,1,3,JFK,LAX,710,707,-3,1030,1048,18
2025,1,1,3,JFK,LAX,800,751,-9,1122,1049,-33
2025,1,1,3,JFK,LAX,815,859,44,1140,1230,50
2025,1,1,3,JFK,LAX,905,937,32,1224,1240,16
2025,1,1,3,JFK,LAX,959,1002,3,1318,1323,5
2025,1,1,3,JFK,LAX,1030,1025,-5,1341,1400,19
2025,1,1,3,JFK,LAX,1100,1051,-9,1422,1353,-29
2025,1,1,3,JFK,LAX,1100,1053,-7,1417,1404,-13
2025,1,1,3,JFK,LAX,1255,1245,-10,1614,1553,-21
2025,1,1,3,JFK,LAX,1300,1300,0,1612,1600,-12
2025,1,1,3,JFK,LAX,1529,1717,108,1850,2125,155
2025,1,1,3,JFK,LAX,1534,1529,-5,1857,1829,-28
2025,1,1,3,JFK,LAX,1540,1539,-1,1859,1903,4
2025,1,1,3,JFK,LAX,1629,1625,-4,1953,1931,-22
2025,1,1,3,JFK,LAX,1729,1722,-7,2053,2038,-15
2025,1,1,3,JFK,LAX,1750,1748,-2,2108,2119,11
2025,1,1,3,JFK,LAX,1815,1905,50,2143,2302,79
2025,1,1,3,JFK,LAX,1915,1906,-9,2241,2228,-13
2025,1,1,3,JFK,LAX,1950,1952,2,2313,2304,-9
2025,1,1,3,JFK,LAX,2011,2010,-1,2339,2328,-11
2025,1,1,3,JFK,LAX,2100,2052,-8,29,27,-2
2025,1,1,3,JFK,LAX,2129,2127,-2,54,44,-10
2025,1,1,3,JFK,MCO,501,459,-2,801,810,9
2025,1,1,3,JFK,MCO,700,658,-2,1005,953,-12
2025,1,1,3,JFK,MCO,730,956,146,1034,1306,152
2025,1,1,3,JFK,MCO,949,946,-3,1254,1237,-17
2025,1,1,3,JFK,MCO,959,955,-4,1259,1308,9
2025,1,1,3,JFK,MCO,1200,1209,9,1458,1525,27
2025,1,1,3,JFK,MCO,1210,1210,0,1505,1505,0
2025,1,1,3,JFK,MCO,1300,1258,-2,1559,1622,23
2025,1,1,3,JFK,MCO,1500,1456,-4,1802,1756,-6
2025,1,1,3,JFK,MCO,1545,1541,-4,1847,1905,18
2025,1,1,3,JFK,MCO,1559,1557,-2,1904,1916,12
2025,1,1,3,JFK,MCO,1705,1706,1,2010,2037,27
2025,1,1,3,JFK,MCO,1755,1827,32,2103,2146,43
2025,1,1,3,JFK,MCO,1930,1934,4,2233,2254,21
2025,1,1,3,JFK,MCO,2045,2041,-4,2353,2352,-1
2025,1,1,3,JFK,MIA,525,523,-2,845,832,-13
2025,1,1,3,JFK,MIA,630,625,-5,950,922,-28
2025,1,1,3,JFK,MIA,700,659,-1,1022,1026,4
2025,1,1,3,JFK,MIA,744,742,-2,1105,1043,-22
2025,1,1,3,JFK,MIA,900,855,-5,1217,1152,-25
2025,1,1,3,JFK,MIA,930,923,-7,1243,1242,-1
2025,1,1,3,JFK,MIA,1100,1103,3,1423,1402,-21
2025,1,1,3,JFK,MIA,1230,1225,-5,1548,1525,-23
2025,1,1,3,JFK,MIA,1320,1342,22,1640,1650,10
2025,1,1,3,JFK,MIA,1350,1349,-1,1700,1707,7
2025,1,1,3,JFK,MIA,1538,1535,-3,1904,1933,29
2025,1,1,3,JFK,MIA,1645,1644,-1,2002,2016,14
2025,1,1,3,JFK,MIA,1730,1727,-3,2048,2053,5
2025,1,1,3,JFK,MIA,1822,1821,-1,2145,2203,18
2025,1,1,3,JFK,MIA,1955,1956,1,2323,2317,-6
2025,1,1,3,JFK,MKE,1820,1901,41,2010,2058,48
2025,1,1,3,JFK,MSP,705,659,-6,925,910,-15
2025,1,1,3,JFK,MSP,1200,1504,184,1411,1655,164
2025,1,1,3,JFK,MSP,1745,2108,203,2007,2253,166
2025,1,1,3,JFK,MSY,810,929,79,1059,1200,61
2025,1,1,3,JFK,MSY,830,822,-8,1112,1113,1
2025,1,1,3,JFK,MSY,1443,1453,10,1715,1730,15
2025,1,1,3,JFK,MSY,1610,1607,-3,1851,1900,9
2025,1,1,3,JFK,ORD,730,723,-7,926,856,-30
2025,1,1,3,JFK,ORD,900,857,-3,1046,1036,-10
2025,1,1,3,JFK,ORD,1051,1141,50,1245,1315,30
2025,1,1,3,JFK,ORD,1554,1552,-2,1742,1728,-14
2025,1,1,3,JFK,ORD,1929,1932,3,2130,2118,-12
2025,1,1,3,JFK,ORF,1620,1617,-3,1754,1747,-7
